,state,action_space,reward,Q,action
360,"[0, 0]",l,0,1.7219795007669805e-10,2
361,"[1, 0]",d,0,5.5420338436730735e-09,1
362,"[1, 1]",r,0,1.5848673223967214e-07,3
363,"[0, 1]",d,0,3.973991935407563e-06,1
364,"[0, 2]",d,0,9.801466348609061e-05,1
365,"[0, 3]",l,0,0.0018594468556051777,2
366,"[1, 3]",l,0,0.025511002054727273,2
367,"[2, 3]",u,1,0.2299568541948447,0
368,"[0, 0]",l,0,2.2035427516898875e-10,2
369,"[1, 0]",d,0,6.912994095393392e-09,1
370,"[1, 1]",r,0,1.9266779233594349e-07,3
371,"[0, 1]",d,0,4.816383987428303e-06,1
372,"[0, 2]",d,0,0.0001137695385516763,1
373,"[0, 3]",l,0,0.0020704514055416715,2
374,"[1, 3]",l,0,0.027325503721933604,2
375,"[2, 3]",u,1,0.23765728565289626,0
376,"[0, 0]",l,0,2.803676792758394e-10,2
377,"[1, 0]",d,0,8.57787428546295e-09,1
378,"[1, 1]",r,0,2.3408857029943877e-07,3
379,"[0, 1]",d,0,5.7921459945191064e-06,1
380,"[0, 2]",d,0,0.00013126590581603458,1
381,"[0, 3]",l,0,0.002295676424983657,2
382,"[1, 3]",l,0,0.029191164255590336,2
383,"[2, 3]",u,1,0.2452807127963673,0
384,"[0, 0]",l,0,3.5476487105224757e-10,2
385,"[1, 0]",d,0,1.0598892675303269e-08,1
386,"[1, 1]",l,-1,-0.029701,2
387,"[0, 0]",r,0,3.1928838394702285e-12,3
388,"[0, 0]",l,0,4.466072564194545e-10,2
389,"[1, 0]",d,0,1.2599700881245184e-08,1
390,"[1, 1]",d,-1,-0.03940399,1
391,"[0, 0]",u,0,4.566600349680777e-12,0
392,"[0, 0]",l,0,5.555384917864666e-10,2
393,"[1, 0]",d,0,1.4580501005127682e-08,1
394,"[1, 1]",r,0,2.8387699854711636e-07,3
395,"[0, 1]",d,0,6.915617686918226e-06,1
396,"[0, 2]",d,0,0.00015061433458272714,1
397,"[0, 3]",l,0,0.0025354401390341335,2
398,"[1, 3]",l,0,0.031106779028201737,2
399,"[2, 3]",u,1,0.25282790566840363,0
400,"[0, 0]",l,0,6.812076159147511e-10,2
401,"[1, 0]",d,0,1.6989588982000454e-08,1
402,"[1, 1]",r,0,3.432787877439092e-07,3
403,"[0, 1]",d,0,8.20199052129359e-06,1
404,"[0, 2]",d,0,0.00017192715248820706,1
405,"[0, 3]",l,0,0.002790046748897608,2
406,"[1, 3]",l,0,0.03307116238893535,2
407,"[2, 3]",u,1,0.26029962661171957,0
408,"[0, 0]",l,0,8.273018405936077e-10,2
409,"[1, 0]",d,0,1.9909202181875634e-08,1
410,"[1, 1]",r,0,4.136639145581124e-07,3
411,"[0, 1]",d,0,9.667314988474517e-06,1
412,"[0, 2]",d,0,0.00019531830170340346,1
413,"[0, 3]",l,0,0.00305978674290905,2
414,"[1, 3]",l,0,0.03508314740455147,2
415,"[2, 3]",u,1,0.26769663034560237,0
416,"[0, 0]",l,0,9.982116418245523e-10,2
417,"[1, 0]",d,0,2.343308539107989e-08,1
418,"[1, 1]",r,0,4.965331103088019e-07,3
419,"[0, 1]",d,0,1.1328506553920403e-05,1
420,"[0, 2]",d,0,0.00022090319937255088,1
421,"[0, 3]",l,0,0.0033449372021209225,2
422,"[1, 3]",l,0,0.03714158560361638,2
423,"[2, 3]",u,1,0.27501966404214634,0
424,"[0, 0]",l,0,1.1991272939260257e-09,2
425,"[1, 0]",d,0,2.7667552529948307e-08,1
426,"[1, 1]",r,0,5.935243381909976e-07,3
427,"[0, 1]",d,0,1.3203350282734156e-05,1
428,"[0, 2]",d,0,0.00024879860219791366,1
429,"[0, 3]",l,0,0.0036457621005322608,2
430,"[1, 3]",l,0,0.03924534672395953,2
431,"[2, 3]",u,1,0.28226946740172487,0
432,"[0, 0]",l,0,1.4361439937563003e-09,2
433,"[1, 0]",d,0,3.27325960483678e-08,1
434,"[1, 1]",r,0,7.06419247353695e-07,3
435,"[0, 1]",d,0,1.5310504199688037e-05,1
436,"[0, 2]",d,0,0.0002791224750807249,1
437,"[0, 3]",l,0,0.003962512600042574,2
438,"[1, 3]",l,0,0.04139331846333546,2
439,"[2, 3]",u,1,0.28944677272770764,0
440,"[0, 0]",l,0,1.7163759182540476e-09,2
441,"[1, 0]",d,0,3.876304331406738e-08,1
442,"[1, 1]",r,0,8.371495926773503e-07,3
443,"[0, 1]",d,0,1.7669501433417683e-05,1
444,"[0, 2]",d,0,0.0003119938637303008,1
445,"[0, 3]",l,0,0.0042954273402121676,2
446,"[1, 3]",l,0,0.04358440623325147,2
447,"[2, 3]",u,1,0.29655230500043056,0
448,"[0, 0]",l,0,2.0480795488981136e-09,2
449,"[1, 0]",d,0,4.590975921502286e-08,1
450,"[1, 1]",r,0,9.878036096513359e-07,3
451,"[0, 1]",l,0,8.890232486862023e-09,2
452,"[1, 1]",r,0,1.1369510864555816e-06,3
453,"[0, 1]",d,0,2.0300751192656214e-05,1
454,"[0, 2]",d,0,0.0003475327711549073,1
455,"[0, 3]",l,0,0.004644732722909309,2
456,"[1, 3]",r,0,4.180259450618378e-05,3
457,"[0, 3]",l,0,0.004990545051779479,2
458,"[1, 3]",l,0,0.04581753291592283,2
459,"[2, 3]",u,1,0.30358678195042627,0
460,"[0, 0]",l,0,2.4407865863443383e-09,2
461,"[1, 0]",d,0,5.568322140097287e-08,1
462,"[1, 1]",r,0,1.3082883363249319e-06,3
463,"[0, 1]",d,0,2.322553862112382e-05,1
464,"[0, 2]",d,0,0.0003889723489093735,1
